"nytro_release","enz","nitrogen","plot","comments","date_time","type","cali_group"
"144",0.772208519384966,"beta_glu","1","27","wet",NA,"triplet","3"
"147",1.04174965099031,"beta_glu","0","28","",NA,"triplet","3"
"148",0.70636995316114,"beta_glu","1","28","",NA,"triplet","3"
"151",0.963852882801498,"beta_glu","0","29","",NA,"triplet","3"
"152",0.998540192389112,"beta_glu","1","29","",NA,"triplet","3"
"155",0.978966701198336,"beta_glu","0","30","",NA,"triplet","3"
"156",0.969197964335388,"beta_glu","1","30","",NA,"triplet","3"
"159",0.767703273515,"beta_glu","1","31","wet",NA,"triplet","3"
"160",0.798647990100408,"beta_glu","0","31","",NA,"triplet","3"
"163",0.565818896616979,"beta_glu","1","32","",NA,"triplet","3"
"164",0.716200728219991,"beta_glu","0","32","",NA,"triplet","3"
"167",0.407011364427113,"beta_glu","1","33","",NA,"triplet","3"
"168",0.459099586916322,"beta_glu","0","33","",NA,"triplet","3"
"171",0.730332257157265,"beta_glu","1","34","wet",NA,"triplet","3"
"172",0.724045449042689,"beta_glu","0","34","",NA,"triplet","3"
"175",0.68223246398157,"beta_glu","1","35","",NA,"triplet","3"
"176",0.560088289390677,"beta_glu","0","35","",NA,"triplet","3"
"179",0.732047627981416,"beta_glu","1","36","",NA,"triplet","3"
"180",0.633485071547177,"beta_glu","0","36","",NA,"triplet","3"
"183",0.674344168149477,"beta_glu","1","37","",NA,"triplet","3"
"184",0.650503831700002,"beta_glu","0","37","",NA,"triplet","3"
"187",0.707479923450476,"beta_glu","1","38","",NA,"triplet","3"
"188",0.676396474454798,"beta_glu","0","38","",NA,"triplet","3"
"191",0.688043069883879,"beta_glu","1","39","",NA,"triplet","3"
"192",0.5536403997904,"beta_glu","0","39","",NA,"triplet","3"
"195",0.855487750885866,"beta_glu","1","40","",NA,"triplet","3"
"196",0.650717602478257,"beta_glu","0","40","",NA,"triplet","3"
"199",0.507794896539042,"beta_glu","0","41","",NA,"triplet","4"
"200",0.73980112800151,"beta_glu","1","41","",NA,"triplet","4"
"203",0.870681164668428,"beta_glu","0","42","",NA,"triplet","4"
"204",1.06629793301034,"beta_glu","1","42","",NA,"triplet","4"
"207",0.93276758769818,"beta_glu","0","43","",NA,"triplet","4"
"208",0.793121052486688,"beta_glu","1","43","",NA,"triplet","4"
"211",1.06269072188249,"beta_glu","0","44","",NA,"triplet","4"
"212",1.00268608790235,"beta_glu","1","44","",NA,"triplet","4"
"215",0.896863577024215,"beta_glu","0","45","",NA,"triplet","4"
"216",0.987457026011156,"beta_glu","1","45","",NA,"triplet","4"
"219",1.09486578958418,"beta_glu","0","46","",NA,"triplet","4"
"220",0.919465388167268,"beta_glu","1","46","",NA,"triplet","4"
"223",0.918362721348521,"beta_glu","0","47","",NA,"triplet","4"
"224",1.05044609916495,"beta_glu","1","47","",NA,"triplet","4"
"227",0.815746795331319,"beta_glu","0","48","",NA,"triplet","4"
"228",0.832537697737924,"beta_glu","1","48","",NA,"triplet","4"
"231",0.508941261473175,"beta_glu","0","49","",NA,"mono","4"
"232",0.489070483733255,"beta_glu","1","49","",NA,"mono","4"
"235",0.492322572435103,"beta_glu","0","50","",NA,"mono","4"
"236",0.496704152970333,"beta_glu","1","50","",NA,"mono","4"
"239",0.501598040523555,"beta_glu","0","51","frost after beta",NA,"mono","4"
"240",0.428601038835021,"beta_glu","1","51","",NA,"mono","4"
"243",0.47705259528337,"beta_glu","0","52","frost after beta",NA,"mono","4"
"244",0.432160019273724,"beta_glu","1","52","",NA,"mono","4"
"247",0.328422036968831,"beta_glu","0","53","",NA,"mono","4"
"248",0.413179942121949,"beta_glu","1","53","",NA,"mono","4"
"251",0.386851731856504,"beta_glu","0","54","",NA,"mono","4"
"252",0.445710554923034,"beta_glu","1","54","",NA,"mono","4"
"255",0.428149182396299,"beta_glu","0","55","",NA,"mono","4"
"256",0.393973573900684,"beta_glu","1","55","",NA,"mono","4"
"259",0.454316380847419,"beta_glu","0","56","",NA,"mono","4"
"260",0.447023123450222,"beta_glu","1","56","",NA,"mono","4"
"263",0.454316380847419,"beta_glu","0","57","",NA,"mono","4"
"264",0.407482375610568,"beta_glu","1","57","",NA,"mono","4"
"267",0.372881503383283,"beta_glu","0","58","wet",NA,"mono","4"
"268",0.44539227086516,"beta_glu","1","58","",NA,"mono","4"
"271",0.499566688010922,"beta_glu","0","59","",NA,"mono","4"
"272",0.480633969882323,"beta_glu","1","59","",NA,"mono","4"
"275",0.430131728078683,"beta_glu","0","60","",NA,"mono","4"
"276",0.407169170162779,"beta_glu","1","60","",NA,"mono","4"
