"plot_ID" "species_1" "species_2" "species_3" "heigth_A" "heigth_B" "heigth_C" "heigth_D" "PAR_sup" "PAR_inf" "treatment" "date" "PAR_start" "PAR_end" "first_flower" "pheno_sp1" "pheno_sp2" "pheno_sp3" "season" "mean_height" "PAR_diff"
"1026" 33 "Be" "Sp" "Ra" 28.5 20.5 38.5 13 185 114 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 25.125 71
"1027" 34 "Fr" "Pt" "Sp" 21.5 9 3 13 185 2.7 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 11.625 182.3
"1028" 34 "Fr" "Pt" "Sp" 27 27 14 22.5 185 122 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 22.625 63
"1029" 35 "Hl" "Pt" "Ra" 0 14.5 24 20 178 2.6 "control" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 14.625 175.4
"1030" 35 "Hl" "Pt" "Ra" 11 25.5 0 29 178 6.5 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 16.375 171.5
"1031" 36 "Fr" "To" "Dc" 25.5 27 26 30 178 10.3 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 27.125 167.7
"1032" 36 "Fr" "To" "Dc" 10 24 30.5 29 178 110 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 23.375 68
"1033" 37 "Lp" "Cb" "Pg" 13 0 3.5 15 178 8.8 "control" NA "11h00" "12h00" NA 0 1 "1" "summer_2022" 7.875 169.2
"1034" 37 "Lp" "Cb" "Pg" 6.5 0 0 0 178 172 "nitrogen" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 1.625 6
"1035" 38 "Hl" "Pg" "Pm" 6 15 14.5 0 178 118 "control" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 8.875 60
"1036" 38 "Hl" "Pg" "Pm" 11.5 16 20.5 12.5 178 5.8 "nitrogen" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 15.125 172.2
"1037" 39 "Be" "Fr" "To" 22 21 20.5 20 178 35 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 20.875 143
"1038" 39 "Be" "Fr" "To" 30.5 22.5 29.5 29 178 12.5 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 27.875 165.5
"1039" 40 "Cb" "Ra" "Pm" 13 9 5.5 11.5 174 29 "control" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 9.75 145
"1040" 40 "Cb" "Ra" "Pm" 21 18 22.5 21 174 4.3 "nitrogen" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 20.625 169.7
"1041" 41 "Fr" "Pt" "Cb" 11.5 0 10.5 9 174 125 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 7.75 49
"1042" 41 "Fr" "Pt" "Cb" 24.5 33.5 20 17 174 3 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 23.75 171
"1043" 42 "Be" "Hl" "Pt" 10.5 27 3 22 174 7.2 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 15.625 166.8
"1044" 42 "Be" "Hl" "Pt" 27 25 6 21 174 4.5 "nitrogen" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 19.75 169.5
"1045" 43 "Lp" "Cb" "Dc" 12 3.5 3.5 10 174 21 "control" NA "11h00" "12h00" NA 0 1 "1" "summer_2022" 7.25 153
"1046" 43 "Lp" "Cb" "Dc" 20 0 5 18 174 9.8 "nitrogen" NA "11h00" "12h00" NA 0 1 "1" "summer_2022" 10.75 164.2
"1047" 44 "Lp" "Cb" "Ra" 15.5 14.5 13.5 20 174 130 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 15.875 44
"1048" 44 "Lp" "Cb" "Ra" 17 17.5 21.5 17 174 68 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 18.25 106
"1049" 45 "Fr" "Hl" "Sp" 22 16 11 13 174 20 "control" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 15.5 154
"1050" 45 "Fr" "Hl" "Sp" 20 34.5 35 35.5 174 5.3 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 31.25 168.7
"1051" 46 "Be" "Lp" "Dc" 19.5 13 17 28 174 112 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 19.375 62
"1052" 46 "Be" "Lp" "Dc" 27.5 30.5 46.5 35 174 5.6 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 34.875 168.4
