species	plot	treatement	atribute	rust	p_mildew	d_mildew	l_spot	n_dmg_fung	mean_perc_dmg_fung	perc_leaves_dmg_fung	perc_dmg_fung	chewing	sucking	mining	n_dmg	mean_perc_dmg	n_leaves	perc_leaves_dmg	perc_dmg	comments
Cb	7	1	species_2	2	2	0	1	4	10	40	4	0	0	2	2	5	10	20	1	
Sp	7	1	species_3	0	0	0	0	0	0	0	0	1	0	0	1	5	10	10	0.5	
Pt	8	0	species_1	0	0	0	1	1	5	10	0.5	0	2	0	2	5	10	20	1	
Dc	8	0	species_2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Sp	8	0	species_3	0	0	0	1	1	1	10	0.1	0	1	0	1	5	10	10	0.5	
Pt	8	1	species_1	0	0	0	0	0	0	0	0	0	3	0	3	5	10	30	1.5	
Dc	8	1	species_2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Sp	8	1	species_3	0	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	
Fr	9	0	species_1	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	
Pt	9	0	species_2	0	0	0	0	0	0	#DIV/0!	#DIV/0!	0	0	0	0	0	0	#DIV/0!	#DIV/0!	no poa
Pm	9	0	species_3	0	0	0	3	3	10	30	3	3	0	0	3	10	10	30	3	
Fr	9	1	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Pt	9	1	species_2	0	0	0	0	0	0	#DIV/0!	#DIV/0!	0	0	0	0	0	0	#DIV/0!	#DIV/0!	no poa
Pm	9	1	species_3	0	0	0	5	5	5	50	2.5	0	1	0	1	10	10	10	1	
Be	10	0	species_1	0	0	0	0	0	0	0	0	0	4	0	4	5	10	40	2	
To	10	0	species_2	0	0	0	5	5	10	50	5	5	0	0	5	20	10	50	10	
Dc	10	0	species_3	0	0	0	2	2	1	20	0.2	1	0	0	1	5	10	10	0.5	
Be	10	1	species_1	0	0	0	1	1	5	10	0.5	0	1	1	2	5	10	20	1	
To	10	1	species_2	0	0	0	1	1	1	10	0.1	0	2	0	2	15	10	20	3	
Dc	10	1	species_3	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	
Pt	11	0	species_1	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	
Cb	11	0	species_2	3	0	0	0	3	10	30	3	0	1	0	1	5	10	10	0.5	
Sp	11	0	species_3	0	0	0	3	3	5	30	1.5	0	0	0	0	0	10	0	0	
Pt	11	1	species_1	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	
Cb	11	1	species_2	2	6	0	0	6	30	60	18	0	0	0	0	0	10	0	0	
Sp	11	1	species_3	0	0	0	4	4	1	40	0.4	0	0	0	0	0	10	0	0	
Be	12	0	species_1	0	0	0	3	3	1	30	0.3	0	0	3	3	5	10	30	1.5	
Fr	12	0	species_2	0	0	0	0	0	0	0	0	0	0	1	1	1	10	10	0.1	
Dc	12	0	species_3	0	0	0	4	4	5	40	2	0	0	0	1	1	10	10	0.1	
Be	12	1	species_1	0	0	0	0	0	0	0	0	0	4	1	4	10	10	40	4	
Fr	12	1	species_2	0	0	0	2	2	10	20	2	0	1	0	1	1	10	10	0.1	
Dc	12	1	species_3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Be	13	0	species_1	0	0	0	2	2	5	20	1	0	2	0	3	10	10	30	3	
Hl	13	0	species_2	0	0	0	0	0	0	0	0	0	2	1	2	5	10	20	1	
To	13	0	species_3	0	0	0	2	2	1	20	0.2	0	1	1	2	10	10	20	2	
Be	13	1	species_1	0	0	0	0	0	0	0	0	1	3	0	3	1	10	30	0.3	
Hl	13	1	species_2	0	0	0	1	1	1	10	0.1	0	2	3	4	10	10	40	4	
To	13	1	species_3	0	0	0	2	2	1	20	0.2	1	0	0	1	1	10	10	0.1	
Sp	14	0	species_1	0	0	0	2	2	1	20	0.2	0	1	0	1	1	10	10	0.1	
Ra	14	0	species_2	0	0	0	5	5	1	50	0.5	0	0	1	0	1	10	0	0	
Pm	14	0	species_3	0	0	0	6	6	5	60	3	0	0	0	0	0	10	0	0	
Sp	14	1	species_1	1	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	
Ra	14	1	species_2	0	0	0	5	5	5	50	2.5	0	0	0	0	0	10	0	0	
Pm	14	1	species_3	0	0	0	4	4	5	40	2	1	0	0	1	1	10	10	0.1	
Be	15	0	species_1	0	0	0	0	0	0	0	0	0	6	1	7	15	10	70	10.5	
Pg	15	0	species_2	0	0	0	5	3	5	30	1.5	0	3	0	3	1	10	30	0.3	
Ra	15	0	species_3	0	0	0	7	7	5	70	3.5	2	0	1	2	5	10	20	1	
Be	15	1	species_1	0	0	0	0	0	0	0	0	0	1	0	1	10	10	10	1	
Pg	15	1	species_2	0	0	0	5	5	1	50	0.5	1	3	0	4	5	10	40	2	
Ra	15	1	species_3	0	0	0	0	0	0	0	0	5	0	0	0	5	10	0	0	
Be	16	0	species_1	0	0	0	0	0	0	0	0	1	4	0	4	10	10	40	4	
Pt	16	0	species_2	0	0	0	0	0	0	0	0	0	8	2	8	30	10	80	24	
Pm	16	0	species_3	0	0	0	4	4	5	40	2	1	0	0	1	1	10	10	0.1	
Be	16	1	species_1	0	0	0	4	4	5	40	2	0	0	0	0	0	10	0	0	
Pt	16	1	species_2	0	0	0	0	0	0	0	0	0	0	5	3	5	10	30	1.5	10
Pm	16	1	species_3	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	10
Be	17	0	species_1	0	0	0	2	2	1	20	0.2	0	6	0	6	10	10	60	6	
Pt	17	0	species_2	0	0	0	3	3	40	60	24	2	0	0	2	40	5	40	16	
To	17	0	species_3	0	0	0	4	2	5	20	1	2	0	0	0	0	10	0	0	
Be	17	1	species_1	0	1	0	0	1	15	10	1.5	0	2	0	2	10	10	20	2	
Pt	17	1	species_2	0	1	0	0	1	10	10	1	0	2	2	4	10	10	40	4	
To	17	1	species_3	0	0	0	5	5	1	50	0.5	3	1	0	4	10	10	40	4	
Be	18	0	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Cb	18	0	species_2	4	0	1	0	4	7	40	2.8	5	0	0	0	0	10	0	0	
Ra	18	0	species_3	0	0	0	3	3	10	30	3	2	0	0	2	5	10	20	1	
Be	18	1	species_1	0	0	0	0	0	0	0	0	0	2	1	3	5	10	30	1.5	
Cb	18	1	species_2	3	0	0	0	3	5	30	1.5	1	3	0	4	5	10	40	2	
Ra	18	1	species_3	0	0	0	5	5	5	50	2.5	0	0	0	0	0	10	0	0	
Cb	19	0	species_1	1	0	1	2	3	5	30	1.5	0	1	0	1	1	10	10	0.1	
To	19	0	species_2	0	0	2	1	3	5	30	1.5	1	0	0	1	1	10	10	0.1	
Ra	19	0	species_3	0	0	0	5	4	1	40	0.4	1	0	0	1	30	10	10	3	
Cb	19	1	species_1	2	3	0	0	4	5	40	2	0	2	0	2	1	10	20	0.2	
To	19	1	species_2	0	0	0	4	4	2	40	0.8	1	0	0	1	30	10	10	3	
Ra	19	1	species_3	0	0	0	2	2	1	20	0.2	3	0	1	4	5	10	40	2	
Pt	20	0	species_1	0	0	0	0	0	0	0	0	0	3	0	3	10	10	30	3	
Dc	20	0	species_2	0	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	
Pg	20	0	species_3	0	0	0	3	3	5	30	1.5	0	0	0	0	0	10	0	0	
Pt	20	1	species_1	0	0	0	2	2	10	20	2	0	0	1	1	5	10	10	0.5	
Dc	20	1	species_2	0	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	
Pg	20	1	species_3	0	0	0	1	1	1	10	0.1	0	2	0	2	5	10	20	1	
Pt	21	0	species_1	0	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	
Cb	21	0	species_2	0	2	0	0	2	5	20	1	0	3	1	3	1	10	30	0.3	
Ra	21	0	species_3	0	0	0	8	8	1	80	0.8	2	0	0	2	1	10	20	0.2	
Pt	21	1	species_1	0	0	0	0	0	0	0	0	0	1	0	1	1	10	10	0.1	
Cb	21	1	species_2	0	5	0	1	5	25	50	12.5	0	3	0	3	5	10	30	1.5	
Ra	21	1	species_3	0	0	0	2	2	1	20	0.2	0	0	2	2	1	10	20	0.2	
Cb	22	0	species_1	1	1	0	0	2	5	20	1	0	3	0	3	5	10	30	1.5	
To	22	0	species_2	0	0	0	4	4	5	40	2	1	0	0	0	10	10	0	0	
Pm	22	0	species_3	0	0	0	4	4	1	40	0.4	0	0	1	1	1	10	10	0.1	
Cb	22	1	species_1	4	0	0	0	4	1	40	0.4	0	3	0	3	5	10	30	1.5	
To	22	1	species_2	1	0	0	4	4	1	40	0.4	0	4	0	4	5	10	40	2	
Pm	22	1	species_3	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	
Lp	23	0	species_1	0	0	0	10	10	25	100	25	0	0	0	0	0	10	0	0	
To	23	0	species_2	0	0	0	1	1	1	10	0.1	0	1	0	1	1	10	10	0.1	
Ra	23	0	species_3	0	0	0	2	0	1	0	0	4	1	0	3	5	10	30	1.5	
Lp	23	1	species_1	0	0	0	3	5	5	50	2.5	0	0	0	0	0	10	0	0	
To	23	1	species_2	0	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	
Ra	23	1	species_3	0	0	0	4	4	1	40	0.4	1	0	1	1	1	10	10	0.1	
Be	24	0	species_1	0	1	0	3	3	5	30	1.5	1	0	1	1	5	10	10	0.5	
Pt	24	0	species_2	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	
Pg	24	0	species_3	0	0	0	0	0	0	0	0	0	0	1	1	5	10	10	0.5	
Be	24	1	species_1	0	0	0	0	0	0	0	0	0	3	0	3	10	10	30	3	
Pt	24	1	species_2	0	0	0	0	0	0	0	0	0	2	1	3	10	10	30	3	
Pg	24	1	species_3	0	0	0	1	1	1	10	0.1	0	3	0	3	5	10	30	1.5	
Be	25	0	species_1	0	2	0	0	2	1	20	0.2	0	0	0	0	0	10	0	0	
Ra	25	0	species_2	0	0	0	4	4	5	40	2	0	0	0	0	0	10	0	0	
Pm	25	0	species_3	0	0	0	2	2	1	20	0.2	0	3	0	3	1	10	30	0.3	
Be	25	1	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Ra	25	1	species_2	0	0	0	1	1	1	10	0.1	0	0	0	0	0	10	0	0	
Pm	25	1	species_3	0	0	0	2	2	5	20	1	0	0	0	0	0	10	0	0	
Fr	26	0	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Hl	26	0	species_2	0	0	0	2	2	5	20	1	0	0	0	0	0	10	0	0	
To	26	0	species_3	0	0	0	4	4	10	40	4	0	0	0	0	0	10	0	0	
Fr	26	1	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Hl	26	1	species_2	3	0	0	0	3	5	30	1.5	0	1	0	1	5	10	10	0.5	
To	26	1	species_3	0	0	0	3	3	10	30	3	0	0	0	0	0	10	0	0	
Hl	27	0	species_1	0	0	0	2	2	1	20	0.2	0	1	0	1	1	10	10	0.1	
Sp	27	0	species_2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Pg	27	0	species_3	0	0	0	1	1	10	10	1	0	0	0	0	0	10	0	0	
Hl	27	1	species_1	1	0	0	1	2	5	20	1	0	1	0	0	5	10	0	0	
Sp	27	1	species_2	0	0	0	2	2	5	20	1	0	0	0	0	0	10	0	0	
Pg	27	1	species_3	0	0	0	1	1	10	10	1	1	0	0	1	10	10	10	1	
Fr	28	0	species_1	0	0	0	1	1	1	10	0.1	0	0	0	0	0	10	0	0	
Hl	28	0	species_2	0	0	0	3	3	5	30	1.5	0	2	0	2	1	10	20	0.2	
Dc	28	0	species_3	0	0	0	1	1	1	10	0.1	0	0	0	0	0	10	0	0	
Fr	28	1	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Hl	28	1	species_2	0	0	0	1	1	1	10	0.1	0	1	0	1	10	10	10	1	
Dc	28	1	species_3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Hl	29	0	species_1	0	0	0	5	5	1	50	0.5	0	0	2	2	1	10	20	0.2	
Lp	29	0	species_2	0	0	0	7	7	5	70	3.5	1	2	0	3	10	10	30	3	
Ra	29	0	species_3	0	0	0	3	3	1	30	0.3	4	0	0	3	0	10	30	0	
Hl	29	1	species_1	0	0	0	2	2	1	20	0.2	0	1	0	1	5	10	10	0.5	
Lp	29	1	species_2	0	0	0	4	4	1	40	0.4	0	1	0	1	5	10	10	0.5	
Ra	29	1	species_3	0	0	0	2	2	1	20	0.2	1	0	0	1	1	10	10	0.1	
Fr	30	0	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Ra	30	0	species_2	0	0	0	6	6	5	60	3	0	0	0	0	0	10	0	0	
Pm	30	0	species_3	0	0	0	1	1	5	10	0.5	0	0	1	1	108	10	10	10.8	
Fr	30	1	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Ra	30	1	species_2	0	0	0	2	2	1	20	0.2	2	0	0	2	1	10	20	0.2	
Pm	30	1	species_3	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	
Pt	31	0	species_1	0	0	0	2	2	5	20	1	0	2	0	2	20	10	20	4	
Pg	31	0	species_2	0	0	0	1	1	1	10	0.1	0	0	0	0	0	10	0	0	
Ra	31	0	species_3	0	0	0	3	3	1	30	0.3	1	0	0	1	1	10	10	0.1	
Pt	31	1	species_1	0	0	0	3	3	15	30	4.5	1	0	1	2	10	10	20	2	
Pg	31	1	species_2	0	0	0	0	0	0	0	0	0	2	0	2	55	10	20	11	
Ra	31	1	species_3	0	0	0	3	3	5	30	1.5	1	0	0	1	5	10	10	0.5	
Be	32	0	species_1	0	0	0	1	1	1	10	0.1	0	1	0	1	5	10	10	0.5	
Pt	32	0	species_2	0	0	0	0	0	0	0	0	0	4	1	4	10	10	40	4	
Sp	32	0	species_3	0	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	
Be	32	1	species_1	0	0	0	0	0	0	0	0	0	2	0	2	5	10	20	1	
Pt	32	1	species_2	0	0	0	0	0	0	0	0	2	3	0	3	10	10	30	3	
Sp	32	1	species_3	0	0	0	1	1	10	10	1	1	0	0	1	1	10	10	0.1	
Be	33	0	species_1	0	0	0	0	0	0	0	0	0	4	0	4	5	10	40	2	
Sp	33	0	species_2	0	0	0	2	2	1	20	0.2	2	0	0	2	5	10	20	1	
Ra	33	0	species_3	0	0	0	2	2	1	20	0.2	1	0	0	1	1	10	10	0.1	
Be	33	1	species_1	0	0	0	0	0	0	0	0	1	1	0	2	1	10	20	0.2	
Sp	33	1	species_2	0	0	0	0	0	0	0	0	2	0	0	2	20	10	20	4	
Ra	33	1	species_3	0	0	0	2	2	5	20	1	0	0	1	1	1	10	10	0.1	
Fr	34	0	species_1	0	0	0	7	7	5	70	3.5	0	0	0	0	0	10	0	0	
Pt	34	0	species_2	0	0	0	0	0	0	#DIV/0!	#DIV/0!	0	0	0	0	0	0	#DIV/0!	#DIV/0!	no poa
Sp	34	0	species_3	0	0	0	6	6	5	60	3	0	0	0	0	0	10	0	0	
Fr	34	1	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Pt	34	1	species_2	0	0	0	0	0	0	#DIV/0!	#DIV/0!	0	0	0	0	0	0	#DIV/0!	#DIV/0!	no poa
Sp	34	1	species_3	0	0	0	2	2	1	20	0.2	0	2	0	2	5	10	20	1	
Hl	35	0	species_1	0	0	0	0	0	0	0	0	0	3	0	3	1	10	30	0.3	
Pt	35	0	species_2	0	0	0	2	2	5	50	2.5	0	0	0	0	0	4	0	0	
Ra	35	0	species_3	0	0	0	7	7	1	70	0.7	1	0	0	1	10	10	10	1	
Hl	35	1	species_1	0	0	0	0	0	0	0	0	0	1	1	2	10	10	20	2	
Pt	35	1	species_2	0	0	0	3	3	10	30	3	0	3	4	5	25	10	50	12.5	
Ra	35	1	species_3	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	
Fr	36	0	species_1	0	0	0	5	5	5	50	2.5	0	0	0	0	0	10	0	0	
To	36	0	species_2	0	0	0	1	1	5	10	0.5	1	0	0	1	5	10	10	0.5	
Dc	36	0	species_3	0	0	0	1	1	1	14.28571429	0.142857143	0	0	0	0	0	7	0	0	
Fr	36	1	species_1	0	0	0	4	4	5	40	2	0	2	0	2	10	10	20	2	
To	36	1	species_2	0	0	0	0	0	0	0	0	0	4	1	0	1	10	0	0	
Dc	36	1	species_3	0	0	0	3	3	10	30	3	0	0	0	0	0	10	0	0	
Lp	37	0	species_1	0	0	0	9	9	50	90	45	0	0	0	0	0	10	0	0	
Cb	37	0	species_2	0	4	0	2	5	10	50	5	0	0	0	0	0	10	0	0	
Pg	37	0	species_3	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	
Lp	37	1	species_1	0	0	0	4	4	1	40	0.4	0	2	0	2	1	10	20	0.2	
Cb	37	1	species_2	0	0	0	1	1	5	10	0.5	0	2	0	2	1	10	20	0.2	
Pg	37	1	species_3	0	0	0	3	3	5	30	1.5	0	0	0	0	0	10	0	0	
Hl	38	0	species_1	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	
Pg	38	0	species_2	0	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	
Pm	38	0	species_3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Hl	38	1	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Pg	38	1	species_2	0	0	0	0	0	0	0	0	0	1	0	1	1	10	10	0.1	
Pm	38	1	species_3	0	0	0	1	1	5	10	0.5	3	1	0	3	5	10	30	1.5	
Be	39	0	species_1	0	0	0	1	1	1	10	0.1	0	3	0	3	10	10	30	3	
Fr	39	0	species_2	0	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	
To	39	0	species_3	0	2	0	2	4	10	40	4	0	2	0	2	1	10	20	0.2	
Be	39	1	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Fr	39	1	species_2	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	
To	39	1	species_3	0	1	0	3	4	1	40	0.4	2	0	0	2	5	10	20	1	
Cb	40	0	species_1	0	7	0	2	8	50	80	40	1	0	0	1	5	10	10	0.5	
Ra	40	0	species_2	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	
Pm	40	0	species_3	0	0	0	0	0	0	#DIV/0!	#DIV/0!	0	0	0	0	0	0	#DIV/0!	#DIV/0!	no plantago
Cb	40	1	species_1	0	3	0	0	3	40	30	12	0	0	0	0	0	10	0	0	
Ra	40	1	species_2	0	0	0	1	1	1	10	0.1	0	0	0	0	0	10	0	0	
Pm	40	1	species_3	0	0	0	0	0	0	#DIV/0!	#DIV/0!	0	0	0	0	0	0	#DIV/0!	#DIV/0!	no plantago
Fr	41	0	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Pt	41	0	species_2	0	0	0	5	5	40	50	20	0	0	0	0	0	10	0	0	
Cb	41	0	species_3	0	3	0	2	5	50	50	25	0	0	0	0	0	10	0	0	
Fr	41	1	species_1	0	0	0	1	1	1	10	0.1	0	0	0	0	0	10	0	0	
Pt	41	1	species_2	0	0	0	0	0	0	#DIV/0!	#DIV/0!	0	0	0	0	0	0	#DIV/0!	#DIV/0!	no poa
Cb	41	1	species_3	0	6	0	0	6	50	60	30	0	1	0	1	35	10	10	3.5	
Be	42	0	species_1	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	
Hl	42	0	species_2	0	0	0	2	2	5	20	1	0	0	0	0	0	10	0	0	
Pt	42	0	species_3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Be	42	1	species_1	0	0	0	0	0	0	0	0	0	3	0	3	5	10	30	1.5	
Hl	42	1	species_2	0	0	0	1	1	10	10	1	1	0	0	1	1	10	10	0.1	
Pt	42	1	species_3	0	0	0	0	0	0	#DIV/0!	#DIV/0!	0	0	0	0	0	0	#DIV/0!	#DIV/0!	no poa
Lp	43	0	species_1	0	0	0	8	8	45	80	36	0	1	0	1	10	10	10	1	
Cb	43	0	species_2	0	1	0	2	2	5	20	1	2	0	0	2	1	10	20	0.2	
Dc	43	0	species_3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Lp	43	1	species_1	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	
Cb	43	1	species_2	0	3	0	1	4	10	40	4	0	2	0	2	1	10	20	0.2	
Dc	43	1	species_3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Lp	44	0	species_1	0	0	0	10	10	10	100	10	0	0	0	0	0	10	0	0	
Cb	44	0	species_2	0	0	0	1	1	5	10	0.5	1	2	0	2	5	10	20	1	
Ra	44	0	species_3	0	0	0	2	2	5	20	1	0	0	0	0	0	10	0	0	
Lp	44	1	species_1	0	0	0	3	3	5	30	1.5	0	0	0	0	0	10	0	0	
Cb	44	1	species_2	1	5	0	1	7	20	70	14	0	2	0	2	5	10	20	1	
Ra	44	1	species_3	0	0	0	3	3	5	30	1.5	0	0	0	0	0	10	0	0	
Fr	45	0	species_1	0	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	
Hl	45	0	species_2	0	0	0	7	7	10	70	7	0	0	0	0	0	10	0	0	
Sp	45	0	species_3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Fr	45	1	species_1	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	
Hl	45	1	species_2	0	0	0	6	6	10	60	6	0	0	0	0	0	10	0	0	
Sp	45	1	species_3	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	
Be	46	0	species_1	0	0	0	10	10	5	100	5	0	4	0	4	5	10	40	2	
Lp	46	0	species_2	1	0	0	10	10	10	100	10	0	0	0	0	0	10	0	0	
Dc	46	0	species_3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Be	46	1	species_1	0	0	0	10	10	1	100	1	0	0	0	0	0	10	0	0	
Lp	46	1	species_2	0	0	0	10	10	5	100	5	0	1	0	1	10	10	10	1	
Dc	46	1	species_3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
Fr	47	0	species_1	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	
Lp	47	0	species_2	0	0	0	9	9	5	90	4.5	0	0	0	0	0	10	0	0	
Pt	47	0	species_3	0	0	0	7	7	1	70	0.7	0	0	0	0	0	10	0	0	
Fr	47	1	species_1	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	
Lp	47	1	species_2	0	0	0	10	10	5	100	5	0	0	0	0	0	10	0	0	
Pt	47	1	species_3	0	0	0	4	4	1	40	0.4	0	0	0	0	0	10	0	0	
Pg	48	0	species_1	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	
Ra	48	0	species_2	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	
Pm	48	0	species_3	0	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	
Pg	48	1	species_1	0	0	0	1	1	1	10	0.1	1	0	0	1	5	10	10	0.5	
Ra	48	1	species_2	0	0	0	3	3	1	30	0.3	1	0	0	1	5	10	10	0.5	
Pm	48	1	species_3	0	0	0	0	0	0	0	0	1	0	0	1	5	10	10	0.5	
Pg	49	0	species_1	0	0	0	5	5	5	50	2.5	0	0	0	0	0	10	0	0	
	49	0	species_2																	
	49	0	species_3																	
Pg	49	1	species_1	0	0	0	2	2	5	20	1	0	3	0	3	5	10	30	1.5	
	49	1	species_2																	
	49	1	species_3																	
Sp	50	0	species_1	0	0	0	7	7	5	70	3.5	2	0	0	2	5	10	20	1	
