Abs	enz	sample	nitrogen	plot	calibr_cons	cali_group		
0.1339	phospha	b	0	39		5		
0.1294	phospha	b	1	39		5		
0.151	phospha	b	0	40		5		
0.1241	phospha	b	1	40		5		
0.0528	phospha	na	na	0	0	6		
0.0977	phospha	na	na	0	10	6		
0.1352	phospha	na	na	0	25	6		
0.2398	phospha	na	na	0	50	6		
0.3809	phospha	na	na	0	100	6		
0.6973	phospha	na	na	0	200	6		
1.0425	phospha	na	na	0	300	6		
1.7023	phospha	na	na	0	500	6		
2.3287	phospha	na	na	0	650	6		
0.7838	phospha	a	1	41		6		
0.8839	phospha	a	0	41		6		
0.993	phospha	a	1	42		6		
0.995	phospha	a	0	42		6		
1.1602	phospha	a	1	43		6		
0.8891	phospha	a	0	43		6		
1.1468	phospha	a	1	44		6		
1.0286	phospha	a	0	44		6		
1.0144	phospha	a	1	45		6		
1.016	phospha	a	0	45		6		
1.057	phospha	a	1	46		6		
1.0199	phospha	a	0	46		6		
1.0864	phospha	a	1	47		6		
1.0287	phospha	a	0	47		6		
1.0282	phospha	a	1	48		6		
0.9239	phospha	a	0	48		6		
0.7757	phospha	a	1	49		6		
0.8069	phospha	a	0	49		6		
0.7843	phospha	a	1	50		6		
0.7901	phospha	a	0	50		6		
0.6982	phospha	a	1	51		6		
0.8388	phospha	a	0	51		6		
0.8267	phospha	a	1	52		6		
0.8041	phospha	a	0	52		6		
0.1636	phospha	b	1	41		6		
0.1928	phospha	b	0	41		6		
0.1727	phospha	b	1	42		6		
0.1686	phospha	b	0	42		6		
0.1848	phospha	b	1	43		6		
0.1692	phospha	b	0	43		6		
0.1772	phospha	b	1	44		6		
0.1581	phospha	b	0	44		6		
0.18	phospha	b	1	45		6		
0.1769	phospha	b	0	45		6		
0.1763	phospha	b	1	46		6		
0.1805	phospha	b	0	46		6		
0.1903	phospha	b	1	47		6		
0.2061	phospha	b	0	47		6		
0.1786	phospha	b	1	48		6		
0.1732	phospha	b	0	48		6		
0.1829	phospha	b	1	49		6		
0.1804	phospha	b	0	49		6		
0.1346	phospha	b	1	50		6		
0.1313	phospha	b	0	50		6		
0.1466	phospha	b	1	51		6		
0.1631	phospha	b	0	51		6		
0.1247	phospha	b	1	52		6		
0.1256	phospha	b	0	52		6		
0.8192	phospha	a	1	53		6		
0.8456	phospha	a	0	53		6		
0.7751	phospha	a	1	54		6		
0.8484	phospha	a	0	54		6		
0.8772	phospha	a	1	55		6		
0.9172	phospha	a	0	55		6		
0.8213	phospha	a	1	56		6		
0.8644	phospha	a	0	56		6		
0.756	phospha	a	1	57		6		
0.8524	phospha	a	0	57		6		
0.7739	phospha	a	1	58		6		
0.8945	phospha	a	0	58		6		
0.9202	phospha	a	1	59		6		
0.9802	phospha	a	0	59		6		
0.8755	phospha	a	1	60		6		
0.8515	phospha	a	0	60		6		
0.1792	phospha	b	1	53		6		
0.1742	phospha	b	0	53		6		
0.1625	phospha	b	1	54		6		
0.1544	phospha	b	0	54		6		
0.1642	phospha	b	1	55		6		
0.1638	phospha	b	0	55		6		
0.1662	phospha	b	1	56		6		
0.1359	phospha	b	0	56		6		
0.1454	phospha	b	1	57		6		
0.1733	phospha	b	0	57		6		
0.1861	phospha	b	1	58		6		
0.1448	phospha	b	0	58		6		
0.1483	phospha	b	1	59		6		
0.127	phospha	b	0	59		6		
0.1213	phospha	b	1	60		6		
0.12	phospha	b	0	60		6		
 								
								
								
								
								
								
								
